market_type,instrument_type,exchange_code,stock_code,standard_code,stock_name,stock_name_en,currency_code,etf_yn,nxt_yn
KOSPI,STOCK,KRX,002150,KR7002150001,도화엔지니어링,,KRW,N,N
KOSPI,STOCK,KRX,002170,KR7002170009,삼양통상,,KRW,N,N
KOSPI,STOCK,KRX,002200,KR7002200004,한국수출포장,,KRW,N,N
KOSPI,STOCK,KRX,002210,KR7002210003,동성제약,,KRW,N,N
KOSPI,STOCK,KRX,002220,KR7002220002,한일철강,,KRW,N,N
KOSPI,STOCK,KRX,002240,KR7002240000,고려제강,,KRW,N,N
KOSPI,STOCK,KRX,002310,KR7002310001,아세아제지,,KRW,N,N
KOSPI,STOCK,KRX,002320,KR7002320000,한진,,KRW,N,N
KOSPI,STOCK,KRX,002350,KR7002350007,넥센타이어,,KRW,N,N
KOSPI,STOCK,KRX,002355,KR7002351005,넥센타이어1우B,,KRW,N,N
KOSPI,STOCK,KRX,002360,KR7002360006,SH에너지화학,,KRW,N,N
KOSPI,STOCK,KRX,002380,KR7002380004,KCC,,KRW,N,N
KOSPI,STOCK,KRX,002390,KR7002390003,한독,,KRW,N,N
KOSPI,STOCK,KRX,002410,KR7002410009,범양건영,,KRW,N,N
KOSPI,STOCK,KRX,002420,KR7002420008,세기상사,,KRW,N,N
KOSPI,STOCK,KRX,002450,KR7002450005,삼익악기,,KRW,N,N
KOSPI,STOCK,KRX,002460,KR7002460004,HS화성,,KRW,N,N
KOSPI,STOCK,KRX,002600,KR7002600005,조흥,,KRW,N,N
KOSPI,STOCK,KRX,002620,KR7002620003,제일파마홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,002630,KR7002630002,오리엔트바이오,,KRW,N,N
KOSPI,STOCK,KRX,002690,KR7002690006,동일제강,,KRW,N,N
KOSPI,STOCK,KRX,002700,KR7002700003,신일전자,,KRW,N,N
KOSPI,STOCK,KRX,002710,KR7002710002,TCC스틸,,KRW,N,N
KOSPI,STOCK,KRX,002720,KR7002720001,국제약품,,KRW,N,N
KOSPI,STOCK,KRX,002760,KR7002760007,보락,,KRW,N,N
KOSPI,STOCK,KRX,002780,KR7002780005,진흥기업,,KRW,N,N
KOSPI,STOCK,KRX,002785,KR7002781003,진흥기업우B,,KRW,N,N
KOSPI,STOCK,KRX,002787,KR7002782001,진흥기업2우B,,KRW,N,N
KOSPI,STOCK,KRX,002790,KR7002790004,아모레퍼시픽홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,002795,KR7002791002,아모레퍼시픽홀딩스우,,KRW,N,N
KOSPI,STOCK,KRX,002810,KR7002810000,삼영무역,,KRW,N,N
KOSPI,STOCK,KRX,002820,KR7002820009,SUN&L,,KRW,N,N
KOSPI,STOCK,KRX,002840,KR7002840007,미원상사,,KRW,N,N
KOSPI,STOCK,KRX,002870,KR7002870004,신풍,,KRW,N,N
KOSPI,STOCK,KRX,002880,KR7002880003,대유에이텍,,KRW,N,N
KOSPI,STOCK,KRX,002900,KR7002900009,TYM,,KRW,N,N
KOSPI,STOCK,KRX,002920,KR7002920007,유성기업,,KRW,N,N
KOSPI,STOCK,KRX,002960,KR7002960003,한국쉘석유,,KRW,N,N
KOSPI,STOCK,KRX,002990,KR7002990000,금호건설,,KRW,N,N
KOSPI,STOCK,KRX,002995,KR7002991008,금호건설우,,KRW,N,N
KOSPI,STOCK,KRX,003000,KR7003000007,부광약품,,KRW,N,N
KOSPI,STOCK,KRX,003010,KR7003010006,혜인,,KRW,N,N
KOSPI,STOCK,KRX,003030,KR7003030004,세아제강지주,,KRW,N,N
KOSPI,STOCK,KRX,003060,KR7003060001,에이프로젠바이오로직스,,KRW,N,N
KOSPI,STOCK,KRX,003070,KR7003070000,코오롱글로벌,,KRW,N,N
KOSPI,STOCK,KRX,003075,KR7003071008,코오롱글로벌우,,KRW,N,N
KOSPI,STOCK,KRX,003080,KR7003080009,SB성보,,KRW,N,N
KOSPI,STOCK,KRX,003090,KR7003090008,대웅,,KRW,N,N
KOSPI,STOCK,KRX,003120,KR7003120003,일성아이에스,,KRW,N,N
KOSPI,STOCK,KRX,003160,KR7003160009,디아이,,KRW,N,N
KOSPI,STOCK,KRX,003200,KR7003200003,일신방직,,KRW,N,N
KOSPI,STOCK,KRX,003220,KR7003220001,대원제약,,KRW,N,N
KOSPI,STOCK,KRX,003230,KR7003230000,삼양식품,,KRW,N,N
KOSPI,STOCK,KRX,003240,KR7003240009,태광산업,,KRW,N,N
KOSPI,STOCK,KRX,003280,KR7003280005,흥아해운,,KRW,N,N
KOSPI,STOCK,KRX,003300,KR7003300001,한일홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,003350,KR7003350006,한국화장품제조,,KRW,N,N
KOSPI,STOCK,KRX,003460,KR7003460003,유화증권,,KRW,N,N
KOSPI,STOCK,KRX,003465,KR7003461001,유화증권우,,KRW,N,N
KOSPI,STOCK,KRX,003470,KR7003470002,유안타증권,,KRW,N,N
KOSPI,STOCK,KRX,003475,KR7003471000,유안타증권우,,KRW,N,N
KOSPI,STOCK,KRX,003480,KR7003480001,한진중공업홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,003490,KR7003490000,대한항공,,KRW,N,N
KOSPI,STOCK,KRX,003495,KR7003491008,대한항공우,,KRW,N,N
KOSPI,STOCK,KRX,003520,KR7003520004,영진약품,,KRW,N,N
KOSPI,STOCK,KRX,003530,KR7003530003,한화투자증권,,KRW,N,N
KOSPI,STOCK,KRX,003535,KR7003531001,한화투자증권우,,KRW,N,N
KOSPI,STOCK,KRX,003540,KR7003540002,대신증권,,KRW,N,N
KOSPI,STOCK,KRX,003545,KR7003541000,대신증권우,,KRW,N,N
KOSPI,STOCK,KRX,003547,KR7003542008,대신증권2우B,,KRW,N,N
KOSPI,STOCK,KRX,003550,KR7003550001,LG,,KRW,N,N
KOSPI,STOCK,KRX,003555,KR7003551009,LG우,,KRW,N,N
KOSPI,STOCK,KRX,003570,KR7003570009,SNT다이내믹스,,KRW,N,N
KOSPI,STOCK,KRX,003580,KR7003580008,HLB글로벌,,KRW,N,N
KOSPI,STOCK,KRX,003610,KR7003610003,방림,,KRW,N,N
KOSPI,STOCK,KRX,003620,KR7003620002,KG모빌리티,,KRW,N,N
KOSPI,STOCK,KRX,003650,KR7003650009,미창석유,,KRW,N,N
KOSPI,STOCK,KRX,003670,KR7003670007,포스코퓨처엠,,KRW,N,N
KOSPI,STOCK,KRX,003680,KR7003680006,한성기업,,KRW,N,N
KOSPI,STOCK,KRX,003690,KR7003690005,코리안리,,KRW,N,N
KOSPI,STOCK,KRX,003720,KR7003720000,삼영,,KRW,N,N
KOSPI,STOCK,KRX,003780,KR7003780004,진양산업,,KRW,N,N
KOSPI,STOCK,KRX,003830,KR7003830007,대한화섬,,KRW,N,N
KOSPI,STOCK,KRX,003850,KR7003850005,보령,,KRW,N,N
KOSPI,STOCK,KRX,003920,KR7003920006,남양유업,,KRW,N,N
KOSPI,STOCK,KRX,003925,KR7003921004,남양유업우,,KRW,N,N
KOSPI,STOCK,KRX,003960,KR7003960002,사조대림,,KRW,N,N
KOSPI,STOCK,KRX,004000,KR7004000006,롯데정밀화학,,KRW,N,N
KOSPI,STOCK,KRX,004020,KR7004020004,현대제철,,KRW,N,N
KOSPI,STOCK,KRX,004060,KR7004060000,SG세계물산,,KRW,N,N
KOSPI,STOCK,KRX,004080,KR7004080008,신흥,,KRW,N,N
KOSPI,STOCK,KRX,004090,KR7004090007,한국석유,,KRW,N,N
KOSPI,STOCK,KRX,004100,KR7004100004,태양금속,,KRW,N,N
KOSPI,STOCK,KRX,004105,KR7004101002,태양금속우,,KRW,N,N
KOSPI,STOCK,KRX,004140,KR7004140000,동방,,KRW,N,N
KOSPI,STOCK,KRX,004150,KR7004150009,한솔홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,004170,KR7004170007,신세계,,KRW,N,N
KOSPI,STOCK,KRX,004250,KR7004250007,NPC,,KRW,N,N
KOSPI,STOCK,KRX,004255,KR7004251005,NPC우,,KRW,N,N
KOSPI,STOCK,KRX,004270,KR7004270005,남성,,KRW,N,N
